image,package,old_version,advisory,severity,comparison,source
image-app,perl-base,5.34.0-3ubuntu1.8,CVE-2023-31486,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2023-31486
image-app,binutils,2.38-4ubuntu2.12,CVE-2017-13716,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2017-13716
image-app,binutils-common,2.38-4ubuntu2.12,CVE-2017-13716,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2017-13716
image-app,binutils-x86-64-linux-gnu,2.38-4ubuntu2.12,CVE-2017-13716,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2017-13716
image-app,libbinutils,2.38-4ubuntu2.12,CVE-2017-13716,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2017-13716
image-app,libctf-nobfd0,2.38-4ubuntu2.12,CVE-2017-13716,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2017-13716
image-app,libctf0,2.38-4ubuntu2.12,CVE-2017-13716,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2017-13716
image-app,libexpat1,2.4.7-1ubuntu0.7,CVE-2025-59375,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-59375
image-app,curl,7.81.0-1ubuntu1.27,CVE-2026-19931,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-19931
image-app,libcurl4,7.81.0-1ubuntu1.27,CVE-2026-19931,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-19931
image-app,wget,1.21.2-2ubuntu1.5,CVE-2021-31879,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2021-31879
image-app,libzstd1,1.4.8+dfsg-3build1,CVE-2022-4899,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-4899
image-app,curl,7.81.0-1ubuntu1.27,CVE-2026-18924,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-18924
image-app,libcurl4,7.81.0-1ubuntu1.27,CVE-2026-18924,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-18924
image-app,libpcre2-8-0,10.39-3ubuntu0.1,CVE-2022-41409,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-41409
image-app,binutils,2.38-4ubuntu2.12,CVE-2019-1010204,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2019-1010204
image-app,binutils-common,2.38-4ubuntu2.12,CVE-2019-1010204,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2019-1010204
image-app,binutils-x86-64-linux-gnu,2.38-4ubuntu2.12,CVE-2019-1010204,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2019-1010204
image-app,libbinutils,2.38-4ubuntu2.12,CVE-2019-1010204,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2019-1010204
image-app,libctf-nobfd0,2.38-4ubuntu2.12,CVE-2019-1010204,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2019-1010204
image-app,libctf0,2.38-4ubuntu2.12,CVE-2019-1010204,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2019-1010204
image-app,wget,1.21.2-2ubuntu1.5,CVE-2024-10524,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2024-10524
image-app,libexpat1,2.4.7-1ubuntu0.7,CVE-2026-66046,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-66046
image-app,libncurses6,6.3-2ubuntu0.3,CVE-2023-50495,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2023-50495
image-app,libncursesw6,6.3-2ubuntu0.3,CVE-2023-50495,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2023-50495
image-app,libtinfo6,6.3-2ubuntu0.3,CVE-2023-50495,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2023-50495
image-app,ncurses-base,6.3-2ubuntu0.3,CVE-2023-50495,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2023-50495
image-app,ncurses-bin,6.3-2ubuntu0.3,CVE-2023-50495,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2023-50495
image-app,binutils,2.38-4ubuntu2.12,CVE-2025-1149,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-1149
image-app,binutils-common,2.38-4ubuntu2.12,CVE-2025-1149,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-1149
image-app,binutils-x86-64-linux-gnu,2.38-4ubuntu2.12,CVE-2025-1149,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-1149
image-app,libbinutils,2.38-4ubuntu2.12,CVE-2025-1149,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-1149
image-app,libctf-nobfd0,2.38-4ubuntu2.12,CVE-2025-1149,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-1149
image-app,libctf0,2.38-4ubuntu2.12,CVE-2025-1149,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-1149
image-app,curl,7.81.0-1ubuntu1.27,CVE-2026-80230,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-80230
image-app,libcurl4,7.81.0-1ubuntu1.27,CVE-2026-80230,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-80230
image-app,binutils,2.38-4ubuntu2.12,CVE-2022-27943,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-27943
image-app,binutils-common,2.38-4ubuntu2.12,CVE-2022-27943,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-27943
image-app,binutils-x86-64-linux-gnu,2.38-4ubuntu2.12,CVE-2022-27943,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-27943
image-app,gcc-12-base,12.3.0-1ubuntu1~22.04.3,CVE-2022-27943,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-27943
image-app,libbinutils,2.38-4ubuntu2.12,CVE-2022-27943,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-27943
image-app,libctf-nobfd0,2.38-4ubuntu2.12,CVE-2022-27943,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-27943
image-app,libctf0,2.38-4ubuntu2.12,CVE-2022-27943,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-27943
image-app,libgcc-s1,12.3.0-1ubuntu1~22.04.3,CVE-2022-27943,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-27943
image-app,libstdc++6,12.3.0-1ubuntu1~22.04.3,CVE-2022-27943,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2022-27943
image-app,curl,7.81.0-1ubuntu1.27,CVE-2026-82209,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-82209
image-app,libcurl4,7.81.0-1ubuntu1.27,CVE-2026-82209,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-82209
image-app,libexpat1,2.4.7-1ubuntu0.7,CVE-2026-45186,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-45186
image-app,perl-base,5.34.0-3ubuntu1.8,CVE-2026-9538,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-9538
image-app,zlib1g,1:1.2.11.dfsg-2ubuntu9.2,CVE-2026-85091,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-85091
image-app,perl-base,5.34.0-3ubuntu1.8,CVE-2026-19487,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-19487
image-app,perl-base,5.34.0-3ubuntu1.8,CVE-2026-42497,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-42497
image-app,libc-bin,2.35-0ubuntu3.14,CVE-2026-77117,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-77117
image-app,libc6,2.35-0ubuntu3.14,CVE-2026-77117,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-77117
image-app,libc-bin,2.35-0ubuntu3.14,CVE-2026-80489,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-80489
image-app,libc6,2.35-0ubuntu3.14,CVE-2026-80489,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-80489
image-app,libexpat1,2.4.7-1ubuntu0.7,CVE-2026-41080,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-41080
image-app,wget,1.21.2-2ubuntu1.5,CVE-2026-16599,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-16599
image-app,perl-base,5.34.0-3ubuntu1.8,CVE-2026-48959,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-48959
image-app,libpcre2-8-0,10.39-3ubuntu0.1,CVE-2026-86145,Medium,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2026-86145
image-app,binutils,2.38-4ubuntu2.12,CVE-2025-1152,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-1152
image-app,binutils-common,2.38-4ubuntu2.12,CVE-2025-1152,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-1152
image-app,binutils-x86-64-linux-gnu,2.38-4ubuntu2.12,CVE-2025-1152,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-1152
image-app,libbinutils,2.38-4ubuntu2.12,CVE-2025-1152,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-1152
image-app,libctf-nobfd0,2.38-4ubuntu2.12,CVE-2025-1152,Low,not_reported_after_runtime_update,https://ubuntu.com/security/CVE-2025-1152
